grid,driverId,constructorId,raceId
11,807,15,880
4,1,131,881
12,807,15,881
9,815,1,881
18,822,3,881
13,817,5,881
3,4,6,881
3,4,6,882
1,1,131,882
7,817,5,882
10,807,15,882
12,815,1,882
16,822,3,882
9,1,131,883
12,815,1,883
3,4,6,883
14,807,15,883
15,822,3,883
13,817,5,883
5,4,6,884
8,815,1,884
11,817,5,884
2,1,131,884
15,807,15,884
16,822,3,884
2,1,131,885
6,4,6,885
11,807,15,885
14,822,3,885
7,815,1,885
12,817,5,885
6,4,6,886
2,1,131,886
12,815,1,886
3,822,3,886
11,817,5,886
9,807,15,886
9,4,6,887
1,1,131,887
5,817,5,887
14,807,15,887
16,822,3,887
13,815,1,887
8,4,6,888
1,1,131,888
13,815,1,888
10,807,15,888
6,817,5,888
17,822,3,888
1,1,131,890
5,4,6,890
9,815,1,890
12,807,15,890
8,817,5,890
16,822,3,890
9,4,6,891
1,1,131,891
19,817,5,891
13,815,1,891
11,807,15,891
20,822,3,891
5,4,6,892
3,807,15,892
7,817,5,892
12,1,131,892
8,815,1,892
18,822,3,892
7,4,6,893
5,1,131,893
14,815,1,893
11,807,15,893
16,822,3,893
9,817,5,893
7,807,15,894
2,1,131,894
5,4,6,894
10,815,1,894
17,822,3,894
12,817,5,894
8,4,6,895
7,807,15,895
16,817,5,895
11,815,1,895
13,822,3,895
3,1,131,895
9,815,1,896
3,1,131,896
11,817,5,896
8,4,6,896
15,822,3,896
7,807,15,896
10,4,6,897
4,1,131,897
8,815,1,897
5,807,15,897
15,822,3,897
9,817,5,897
5,1,131,898
6,4,6,898
4,807,15,898
7,815,1,898
9,822,3,898
10,817,5,898
3,4,6,899
19,815,1,899
10,807,15,899
5,1,131,899
7,817,5,899
13,822,3,899
4,825,1,900
5,4,6,900
15,822,3,900
7,807,10,900
16,815,10,900
1,1,131,900
2,817,9,900
1,1,131,901
4,4,6,901
7,807,10,901
18,822,3,901
8,825,1,901
5,817,9,901
14,815,10,901
2,1,131,902
4,815,10,902
13,817,9,902
11,807,10,902
3,822,3,902
9,4,6,902
8,825,1,902
1,1,131,903
5,4,6,903
2,817,9,903
8,807,10,903
7,822,3,903
16,815,10,903
15,825,1,903
1,1,131,904
3,817,9,904
4,822,3,904
7,4,6,904
11,815,10,904
10,807,10,904
14,825,1,904
2,1,131,905
3,817,9,905
5,4,6,905
11,807,10,905
8,825,1,905
13,822,3,905
10,815,10,905
6,817,9,906
11,807,10,906
7,4,6,906
4,822,3,906
12,825,1,906
13,815,10,906
2,1,131,906
9,1,131,907
2,822,3,907
4,4,6,907
15,815,10,907
6,825,1,907
5,817,9,907
10,807,10,907
6,1,131,908
14,822,3,908
8,817,9,908
16,4,6,908
5,825,1,908
4,807,10,908
7,815,10,908
2,822,3,909
20,1,131,909
7,4,6,909
5,817,9,909
9,807,10,909
4,825,1,909
10,815,10,909
4,817,9,910
5,4,6,910
22,1,131,910
3,822,3,910
21,825,1,910
12,815,10,910
9,807,10,910
5,817,9,911
6,822,3,911
4,4,6,911
13,815,10,911
18,807,10,911
7,825,1,911
2,1,131,911
1,1,131,912
3,822,3,912
9,817,9,912
10,815,10,912
